nct_id,drug_name,approval_type,approval_date,approval_year,sponsor
NCT00887809,Doxorubicin,SUPPL,19960729,1996,HIKMA
NCT00887809,Temsirolimus,ORIG,20190816,2019,GLAND
NCT00887809,gemcitabine,SUPPL,20191003,2019,GLAND
NCT00887809,docetaxel,SUPPL,20230919,2023,HENGRUI PHARMA
NCT00887809,bevacizumab,SUPPL,20210209,2021,PFIZER INC
NCT00880542,Sunitinib,ORIG,20211206,2021,MYLAN
NCT00880542,Mirdametinib,ORIG,20250211,2025,SPRINGWORKS
NCT00880542,Palbociclib,SUPPL,20190909,2019,PFIZER
NCT00880542,Ivosidenib 500mg,SUPPL,20191010,2019,SHILPA
NCT00880542,Pazopanib,ORIG,20231019,2023,TEVA PHARMS INC
NCT00880542,Pazopanib Hydrochloride,SUPPL,20171221,2017,KENVUE BRANDS
NCT00880542,Imatinib Mesylate,ORIG,20250430,2025,SATSUMA PHARMS
NCT00880542,TH-302 in Combination with Doxorubicin,ORIG,20240214,2024,BAXTER HLTHCARE CORP
NCT00880542,Doxorubicin,SUPPL,19960729,1996,HIKMA
NCT00880542,Temsirolimus,ORIG,20190816,2019,GLAND
NCT00880542,gemcitabine,SUPPL,20191003,2019,GLAND
NCT00880542,docetaxel,SUPPL,20230919,2023,HENGRUI PHARMA
NCT00880542,bevacizumab,SUPPL,20210209,2021,PFIZER INC
NCT00880542,sorafenib,ORIG,20230412,2023,TORRENT
NCT00880542,Ifosfamide,SUPPL,20201228,2020,HIKMA
NCT00837148,Sunitinib,ORIG,20211206,2021,MYLAN
NCT00837148,Mirdametinib,ORIG,20250211,2025,SPRINGWORKS
NCT00837148,Palbociclib,SUPPL,20190909,2019,PFIZER
NCT00837148,Ivosidenib 500mg,SUPPL,20191010,2019,SHILPA
NCT00837148,Pazopanib,ORIG,20231019,2023,TEVA PHARMS INC
NCT00837148,Pazopanib Hydrochloride,SUPPL,20171221,2017,KENVUE BRANDS
NCT00837148,Imatinib Mesylate,ORIG,20250430,2025,SATSUMA PHARMS
NCT00837148,TH-302 in Combination with Doxorubicin,ORIG,20240214,2024,BAXTER HLTHCARE CORP
NCT00837148,Doxorubicin,SUPPL,19960729,1996,HIKMA
NCT00837148,Temsirolimus,ORIG,20190816,2019,GLAND
NCT00837148,gemcitabine,SUPPL,20191003,2019,GLAND
NCT00837148,docetaxel,SUPPL,20230919,2023,HENGRUI PHARMA
NCT00837148,bevacizumab,SUPPL,20210209,2021,PFIZER INC
NCT00837148,sorafenib,ORIG,20230412,2023,TORRENT
NCT00837148,Ifosfamide,SUPPL,20201228,2020,HIKMA
NCT00837148,Sorafenib and Dacarbazine,ORIG,20260406,2026,MACLEODS PHARMS LTD
NCT00137111,"Mercaptopurine, Imatinib",SUPPL,20230816,2023,DR REDDYS
NCT03802214,Vedolizumab,SUPPL,20240418,2024,TAKEDA PHARMS USA
NCT03327051,Vedolizumab,SUPPL,20240418,2024,TAKEDA PHARMS USA
NCT03327051,Omeprazole,ORIG,20071204,2007,DEXCEL PHARMA
NCT02290665,Vedolizumab,SUPPL,20240418,2024,TAKEDA PHARMS USA
NCT02290665,Omeprazole,ORIG,20071204,2007,DEXCEL PHARMA
NCT03598257,Olaparib,SUPPL,20210311,2021,ASTRAZENECA
NCT03448926,Olaparib,SUPPL,20210311,2021,ASTRAZENECA
NCT02400190,Olaparib,SUPPL,20210311,2021,ASTRAZENECA
NCT01477489,Olaparib,SUPPL,20210311,2021,ASTRAZENECA
NCT06954805,Rituximab,SUPPL,20200529,2020,CELLTRION INC
NCT06954805,Etoposide,SUPPL,19961212,1996,MEITHEAL
NCT06954805,Prednisone,ORIG,19740226,1974,MYLAN
NCT06954805,Vincristine,SUPPL,19921103,1992,HOSPIRA
NCT06954805,Cyclophosphamide,ORIG,20141031,2014,HENGRUI PHARMA
NCT06954805,Doxorubicin,SUPPL,19960729,1996,HIKMA
NCT06651489,Guselkumab,SUPPL,20250926,2025,JANSSEN BIOTECH
